0003B;hu_b1_Oct_Hung_0642_0006

0006B;hu_b1_Oct_Hung_0642_0009

0007B;hu_b1_Oct_Hung_0642_0010

0008B;hu_b1_Oct_Hung_0642_0011

0009B;hu_b1_Oct_Hung_0642_0012

0011A;hu_b1_Oct_Hung_0642_0013

0011B;hu_b1_Oct_Hung_0642_0014

0016B;hu_b1_Oct_Hung_0642_0019

0019B;hu_b1_Oct_Hung_0642_0022

0021A;hu_b1_Oct_Hung_0642_0023

0022B;hu_b1_Oct_Hung_0642_0025

0024A;hu_b1_Oct_Hung_0642_0026

0025B;hu_b1_Oct_Hung_0642_0028

0027A;hu_b1_Oct_Hung_0642_0029

0029A;hu_b1_Oct_Hung_0642_0031

0030A;hu_b1_Oct_Hung_0642_0032

0031B;hu_b1_Oct_Hung_0642_0034

0035A;hu_b1_Oct_Hung_0642_0037

0039A;hu_b1_Oct_Hung_0642_0041

0041A;hu_b1_Oct_Hung_0642_0043

0042A;hu_b1_Oct_Hung_0642_0044

0043A;hu_b1_Oct_Hung_0642_0045

0043B;hu_b1_Oct_Hung_0642_0046

0048B;hu_b1_Oct_Hung_0642_0051

0050A;hu_b1_Oct_Hung_0642_0052

0052A;hu_b1_Oct_Hung_0642_0054

0053A;hu_b1_Oct_Hung_0642_0055

0054A;hu_b1_Oct_Hung_0642_0056

0056B;hu_b1_Oct_Hung_0642_0059

0057A;hu_b1_Oct_Hung_0642_0059

0058B;hu_b1_Oct_Hung_0642_0061

0060B;hu_b1_Oct_Hung_0642_0063

0062A;hu_b1_Oct_Hung_0642_0064

0063A;hu_b1_Oct_Hung_0642_0065

0065A;hu_b1_Oct_Hung_0642_0067

0066A;hu_b1_Oct_Hung_0642_0068

0067A;hu_b1_Oct_Hung_0642_0069

0070A;hu_b1_Oct_Hung_0642_0072

0073A;hu_b1_Oct_Hung_0642_0075

0074B;hu_b1_Oct_Hung_0642_0077

0077A;hu_b1_Oct_Hung_0642_0079

0078A;hu_b1_Oct_Hung_0642_0080

0079B;hu_b1_Oct_Hung_0642_0082

0080B;hu_b1_Oct_Hung_0642_0083

0080C;hu_b1_Oct_Hung_0642_0084

0082A;hu_b1_Oct_Hung_0642_0085

0083B;hu_b1_Oct_Hung_0642_0087

0084B;hu_b1_Oct_Hung_0642_0088

0086A;hu_b1_Oct_Hung_0642_0089

0089A;hu_b1_Oct_Hung_0642_0092

0090A;hu_b1_Oct_Hung_0642_0093

0091B;hu_b1_Oct_Hung_0642_0095

0093B;hu_b1_Oct_Hung_0642_0097

0095B;hu_b1_Oct_Hung_0642_0099

0097A;hu_b1_Oct_Hung_0642_0100

0099A;hu_b1_Oct_Hung_0642_0102

0100B;hu_b1_Oct_Hung_0642_0104

0103A;hu_b1_Oct_Hung_0642_0106

0105A;hu_b1_Oct_Hung_0642_0108

0107A;hu_b1_Oct_Hung_0642_0110

0180A;hu_b1_Oct_Hung_0642_0112

0108B;hu_b1_Oct_Hung_0642_0112

0109B;hu_b1_Oct_Hung_0642_0113

0110A;hu_b1_Oct_Hung_0642_0113

0113A;hu_b1_Oct_Hung_0642_0116

0117A;hu_b1_Oct_Hung_0642_0120

0120B;hu_b1_Oct_Hung_0642_0124

0122A;hu_b1_Oct_Hung_0642_0125

0123B;hu_b1_Oct_Hung_0642_0127

0125B;hu_b1_Oct_Hung_0642_0129

0128B;hu_b1_Oct_Hung_0642_0132
0130B;hu_b1_Oct_Hung_0642_0134

0132A;hu_b1_Oct_Hung_0642_0135

0137B;hu_b1_Oct_Hung_0642_0141

0140B;hu_b1_Oct_Hung_0642_0144

0143A;hu_b1_Oct_Hung_0642_0146

0149B;hu_b1_Oct_Hung_0642_0153

0154B;hu_b1_Oct_Hung_0642_0158

0157B;hu_b1_Oct_Hung_0642_0161

0160A;hu_b1_Oct_Hung_0642_0163

0163B;hu_b1_Oct_Hung_0642_0167

0165A;hu_b1_Oct_Hung_0642_0168

0168A;hu_b1_Oct_Hung_0642_0171

0173B;hu_b1_Oct_Hung_0642_0177

